order,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9,epoch 10,epoch 11,epoch 12,epoch 13,epoch 14,epoch 15,epoch 16,epoch 17,epoch 18,epoch 19,epoch 20,epoch 21,epoch 22,epoch 23,epoch 24,epoch 25,epoch 26,epoch 27,epoch 28,epoch 29,epoch 30,epoch 31,epoch 32,epoch 33,epoch 34,epoch 35,epoch 36,epoch 37,epoch 38,epoch 39,epoch 40
fl_dm_ds_gc,0.3907,0.4286,0.4668,0.4799,0.5093,0.5192,0.5097,0.5305,0.5518,0.5447,0.5487,0.5654,0.5622,0.5512,0.5699,0.5793,0.575,0.5827,0.5877,0.5916,0.5955,0.5791,0.5954,0.5961,0.5945,0.5855,0.597,0.5947,0.5983,0.603,0.6069,0.6043,0.6015,0.5995,0.603,0.6053,0.606,0.6092,0.6077,0.6068
fl_dm_gc_ds,0.4037,0.4597,0.4863,0.5044,0.5085,0.5212,0.5285,0.5463,0.5523,0.5686,0.5721,0.5779,0.5776,0.5758,0.575,0.5967,0.5848,0.6013,0.6007,0.6105,0.6129,0.6175,0.6222,0.6129,0.6234,0.6167,0.6243,0.6305,0.6258,0.6244,0.6187,0.6204,0.6263,0.6232,0.6297,0.621,0.6261,0.6242,0.6378,0.6306
fl_ds_dm_gc,0.3803,0.4368,0.4416,0.4673,0.4991,0.5135,0.5185,0.5285,0.5421,0.5383,0.5537,0.5451,0.5562,0.5619,0.57,0.5767,0.5734,0.5962,0.5884,0.5965,0.5837,0.5876,0.604,0.5881,0.5985,0.6139,0.6128,0.6036,0.6093,0.6158,0.6208,0.6095,0.618,0.6241,0.6257,0.6173,0.6263,0.623,0.6273,0.6237
fl_ds_gc_dm,0.3774,0.4416,0.4813,0.4977,0.515,0.5281,0.529,0.5476,0.5557,0.5701,0.5584,0.5817,0.5852,0.5815,0.5782,0.6005,0.5983,0.6089,0.6096,0.6062,0.6262,0.6069,0.6144,0.6258,0.6218,0.6197,0.6225,0.6323,0.6223,0.6237,0.6222,0.6319,0.6392,0.6336,0.63,0.638,0.6149,0.6255,0.6298,0.6348
fl_gc_dm_ds,0.3748,0.43,0.4686,0.4902,0.5164,0.5277,0.5386,0.5312,0.5369,0.5628,0.5557,0.5732,0.5814,0.5787,0.5812,0.5804,0.5901,0.5938,0.5998,0.5984,0.6025,0.5993,0.5912,0.6135,0.6124,0.6071,0.6113,0.6213,0.6064,0.6194,0.6093,0.6081,0.6139,0.6213,0.6259,0.6287,0.62,0.6331,0.6218,0.6276
fl_gc_ds_dm,0.3508,0.4288,0.4497,0.4855,0.4891,0.5152,0.5057,0.518,0.5375,0.5497,0.5439,0.5673,0.5726,0.5713,0.5802,0.591,0.591,0.5982,0.5878,0.6047,0.6052,0.6096,0.5983,0.6051,0.6179,0.6034,0.6134,0.6254,0.621,0.62,0.6228,0.6189,0.6283,0.6261,0.6321,0.6299,0.6197,0.6275,0.6265,0.6346
dm_fl_ds_gc,0.3611,0.4301,0.4581,0.4743,0.4938,0.4955,0.5231,0.5161,0.518,0.5447,0.5472,0.5396,0.5406,0.5602,0.546,0.5578,0.5706,0.5712,0.5633,0.5855,0.5876,0.5853,0.592,0.5861,0.6015,0.5892,0.602,0.6034,0.5897,0.5987,0.5925,0.6019,0.5967,0.5977,0.6059,0.6147,0.606,0.6092,0.6102,0.6214
dm_fl_gc_ds,0.3768,0.454,0.494,0.5119,0.5093,0.5344,0.5439,0.5637,0.5644,0.5625,0.5713,0.5876,0.5939,0.5931,0.5824,0.6007,0.6057,0.607,0.612,0.6036,0.6156,0.6169,0.6072,0.6187,0.6205,0.6093,0.6212,0.6238,0.6209,0.6284,0.6155,0.6276,0.6286,0.6253,0.6182,0.6374,0.6289,0.632,0.62,0.6122
dm_ds_fl_gc,0.3901,0.4458,0.4618,0.4875,0.4973,0.5198,0.5134,0.5379,0.5382,0.5384,0.5576,0.5548,0.5614,0.562,0.5676,0.5694,0.576,0.5809,0.5839,0.583,0.588,0.5891,0.5955,0.6017,0.5888,0.5781,0.6107,0.5969,0.6073,0.6088,0.6093,0.6108,0.6175,0.6149,0.6174,0.6059,0.6217,0.6055,0.6135,0.6154
dm_ds_gc_fl,0.4037,0.4592,0.4845,0.5132,0.5341,0.5402,0.5513,0.5613,0.5638,0.578,0.5864,0.583,0.5912,0.5919,0.605,0.5994,0.6046,0.612,0.6096,0.6128,0.6221,0.6184,0.6249,0.6249,0.621,0.6228,0.6143,0.6328,0.6306,0.6265,0.6338,0.6264,0.6316,0.632,0.6392,0.6392,0.6388,0.6336,0.6267,0.6406
dm_gc_fl_ds,0.3907,0.4464,0.4643,0.4809,0.4933,0.5126,0.5092,0.5258,0.5333,0.545,0.5489,0.5551,0.5541,0.5688,0.5747,0.5842,0.572,0.5932,0.5856,0.5958,0.5943,0.5984,0.6004,0.6087,0.6026,0.5964,0.6052,0.6119,0.6011,0.6179,0.611,0.6089,0.6141,0.6229,0.6225,0.6125,0.6093,0.6211,0.6226,0.6183
dm_gc_ds_fl,0.3983,0.438,0.4498,0.4914,0.4861,0.4909,0.5137,0.5201,0.5282,0.5339,0.5298,0.5429,0.5513,0.5616,0.5518,0.5517,0.5601,0.5661,0.5709,0.5759,0.5692,0.5844,0.594,0.5898,0.5743,0.5939,0.5813,0.6019,0.5949,0.5872,0.5908,0.5872,0.5946,0.5992,0.5984,0.6046,0.6109,0.5911,0.6112,0.6051
