order,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5,epoch 6,epoch 7,epoch 8,epoch 9,epoch 10,epoch 11,epoch 12,epoch 13,epoch 14,epoch 15,epoch 16,epoch 17,epoch 18,epoch 19,epoch 20,epoch 21,epoch 22,epoch 23,epoch 24,epoch 25,epoch 26,epoch 27,epoch 28,epoch 29,epoch 30,epoch 31,epoch 32,epoch 33,epoch 34,epoch 35,epoch 36,epoch 37,epoch 38,epoch 39,epoch 40
fl_dm_ds_gc,0.3603,0.4124,0.4451,0.4614,0.459,0.4838,0.4987,0.5043,0.512,0.5154,0.5288,0.5339,0.5493,0.5367,0.5418,0.5577,0.5536,0.5529,0.5532,0.5725,0.571,0.5691,0.569,0.5728,0.58,0.5652,0.5828,0.5733,0.5713,0.5788,0.5854,0.5831,0.5856,0.5902,0.5882,0.5751,0.5888,0.5917,0.5924,0.5918
fl_dm_gc_ds,0.3804,0.427,0.4641,0.476,0.4943,0.4974,0.5002,0.5199,0.5284,0.5136,0.5371,0.5352,0.5548,0.5541,0.5573,0.5655,0.5798,0.5798,0.5884,0.5788,0.5763,0.5878,0.586,0.5899,0.5938,0.5899,0.5947,0.5953,0.587,0.5905,0.5978,0.59,0.6031,0.5909,0.5922,0.5896,0.6069,0.6054,0.6027,0.6111
dm_fl_ds_gc,0.3772,0.4309,0.4512,0.4612,0.4642,0.4937,0.5022,0.501,0.5072,0.5295,0.5266,0.5408,0.5295,0.5456,0.5504,0.5511,0.5494,0.5504,0.5594,0.5612,0.5733,0.5548,0.5674,0.5517,0.5673,0.5632,0.5689,0.5694,0.5681,0.5694,0.5724,0.5708,0.5708,0.5798,0.5701,0.5656,0.5727,0.5781,0.5504,0.5696
dm_fl_gc_ds,0.3507,0.4186,0.4278,0.4603,0.4797,0.4989,0.5079,0.5122,0.5176,0.5182,0.5321,0.5378,0.5419,0.5523,0.5571,0.5511,0.5589,0.5586,0.554,0.5656,0.5574,0.5615,0.5674,0.5731,0.5722,0.5713,0.5764,0.5704,0.5732,0.5716,0.5577,0.5804,0.5671,0.5782,0.5842,0.5625,0.5795,0.5812,0.5708,0.5702
dm_ds_gc_fl,0.3723,0.4011,0.4318,0.4578,0.471,0.4885,0.501,0.4978,0.5081,0.512,0.5113,0.5253,0.5331,0.5189,0.5378,0.5503,0.5395,0.5573,0.5441,0.5552,0.5586,0.5615,0.5568,0.5671,0.5563,0.5554,0.5662,0.5608,0.5703,0.5588,0.5605,0.57,0.5691,0.5676,0.5675,0.5737,0.5703,0.5725,0.5764,0.5746
dm_ds_fl_gc,0.3555,0.406,0.4628,0.4612,0.4767,0.4962,0.5007,0.5027,0.5201,0.5266,0.5283,0.5425,0.5527,0.5494,0.5528,0.5596,0.5606,0.5613,0.5675,0.5747,0.5803,0.5787,0.5722,0.5843,0.5729,0.5884,0.5802,0.5915,0.5855,0.5822,0.5723,0.593,0.5901,0.5937,0.5735,0.5908,0.5944,0.585,0.58,0.5755
ds_dm_gc_fl,0.3609,0.4308,0.4659,0.4714,0.4925,0.5076,0.5032,0.5078,0.5227,0.5298,0.5371,0.5313,0.5268,0.549,0.5521,0.5551,0.5526,0.5552,0.553,0.5635,0.562,0.5626,0.5735,0.5678,0.5688,0.5666,0.5824,0.5575,0.5636,0.5758,0.5771,0.5847,0.5741,0.5712,0.5705,0.5756,0.5742,0.5795,0.585,0.5782
ds_dm_fl_gc,0.3553,0.4161,0.4402,0.4541,0.4718,0.4934,0.4899,0.499,0.519,0.5277,0.5294,0.5355,0.5353,0.537,0.5535,0.5632,0.5621,0.5729,0.558,0.5669,0.584,0.5707,0.5718,0.584,0.5812,0.5798,0.5784,0.577,0.5751,0.5914,0.5871,0.587,0.5766,0.5832,0.5888,0.5878,0.5926,0.5961,0.5914,0.5766
dm_gc_ds_fl,0.3655,0.4103,0.4345,0.4663,0.4735,0.4914,0.4976,0.4976,0.5049,0.532,0.526,0.5268,0.5352,0.5347,0.5377,0.5517,0.5493,0.556,0.5588,0.5617,0.5684,0.5714,0.5564,0.5746,0.5664,0.5678,0.5713,0.5742,0.5765,0.5723,0.576,0.5687,0.5721,0.5714,0.5744,0.5595,0.5828,0.5707,0.576,0.5731
dm_gc_fl_ds,0.3491,0.4135,0.4454,0.46,0.4757,0.5019,0.5132,0.508,0.523,0.5412,0.5142,0.5384,0.5502,0.5583,0.55,0.562,0.5692,0.5707,0.5625,0.5729,0.5813,0.5807,0.5744,0.5843,0.5797,0.5862,0.5897,0.5856,0.5764,0.5825,0.5936,0.5943,0.5796,0.5948,0.5877,0.5855,0.5913,0.5938,0.5956,0.596
gc_dm_ds_fl,0.3617,0.4146,0.448,0.4489,0.4726,0.4883,0.4886,0.4987,0.5008,0.5053,0.5035,0.5228,0.5167,0.5207,0.53,0.5382,0.5446,0.5342,0.5342,0.5408,0.5383,0.545,0.5327,0.5364,0.5496,0.5434,0.5466,0.5477,0.5527,0.5533,0.5451,0.5602,0.567,0.5496,0.5505,0.5604,0.5587,0.5518,0.5574,0.5564
gc_dm_fl_ds,0.3791,0.4147,0.4404,0.4712,0.4877,0.5098,0.5293,0.5051,0.5278,0.5369,0.5442,0.5519,0.5645,0.5486,0.5637,0.5678,0.5514,0.5744,0.5752,0.5672,0.5823,0.563,0.574,0.5867,0.5798,0.5803,0.5803,0.5818,0.5797,0.5819,0.5814,0.5727,0.5784,0.5851,0.5835,0.593,0.5839,0.5946,0.5844,0.5712
